Id,Name,team,position,height,weight,age
127,Jon Lester,BOS,Starting Pitcher,74,190,23.15
128,Kason Gabbard,BOS,Starting Pitcher,75,200,24.9
129,Craig Hansen,BOS,Relief Pitcher,78,210,23.29
130,Hideki Okajima,BOS,Relief Pitcher,73,194,31.18
131,Craig Breslow,BOS,Relief Pitcher,73,180,26.56
132,Manny Delcarmen,BOS,Relief Pitcher,74,190,25.03
133,Brendan Donnelly,BOS,Relief Pitcher,75,240,35.66
134,Javier Lopez,BOS,Relief Pitcher,76,200,29.64
135,J.C. Romero,BOS,Relief Pitcher,71,198,30.74
136,Joel Pineiro,BOS,Relief Pitcher,73,200,28.43
137,Julian Tavarez,BOS,Relief Pitcher,74,195,33.77
138,Mike Timlin,BOS,Relief Pitcher,76,210,40.97
139,Nick DeBarr,BOS,Relief Pitcher,76,220,23.52
140,Victor Martinez,CLE,Catcher,74,190,28.19
141,Kelly Shoppach,CLE,Catcher,73,210,26.84
142,Ryan Garko,CLE,First Baseman,74,225,26.16
143,Joe Inglett,CLE,Second Baseman,70,180,28.67
144,Josh Barfield,CLE,Second Baseman,72,185,24.2
145,Hector Luna,CLE,Second Baseman,73,170,27.08
146,Jhonny Peralta,CLE,Shortstop,73,185,24.76
147,Andy Marte,CLE,Third Baseman,73,185,23.36
148,Ben Francisco,CLE,Outfielder,73,180,25.35
149,Shin-Soo Choo,CLE,Outfielder,71,178,24.63
150,Franklin Gutierrez,CLE,Outfielder,74,175,24.02
151,Grady Sizemore,CLE,Outfielder,74,200,24.58
152,Jason Michaels,CLE,Outfielder,72,204,30.82
153,Trot Nixon,CLE,Outfielder,74,211,32.89
154,David Dellucci,CLE,Outfielder,71,190,33.33
155,Casey Blake,CLE,Outfielder,74,210,33.52
156,Travis Hafner,CLE,Designated Hitter,75,240,29.74
157,Paul Byrd,CLE,Starting Pitcher,73,190,36.24
158,Cliff Lee,CLE,Starting Pitcher,75,190,28.5
159,Jake Westbrook,CLE,Starting Pitcher,75,185,29.42
160,C.C. Sabathia,CLE,Starting Pitcher,79,290,26.61
161,Jeremy Sowers,CLE,Starting Pitcher,73,175,23.79
162,Rafael Perez,CLE,Relief Pitcher,75,185,24.96
163,Brian Slocum,CLE,Relief Pitcher,76,200,25.93
164,Edward Mujica,CLE,Relief Pitcher,74,220,22.81
165,Fernando Cabrera,CLE,Relief Pitcher,76,170,25.29
166,Tom Mastny,CLE,Relief Pitcher,78,220,26.07
167,Juan Lara,CLE,Relief Pitcher,74,190,26.09
168,Fausto Carmona,CLE,Relief Pitcher,76,220,23.23
169,Aaron Fultz,CLE,Relief Pitcher,72,205,33.49
170,Rafael Betancourt,CLE,Relief Pitcher,74,200,31.84
171,Roberto Hernandez,CLE,Relief Pitcher,76,250,42.3
172,Joe Borowski,CLE,Relief Pitcher,74,225,35.82
173,Matt Miller,CLE,Relief Pitcher,75,215,35.27
174,Jason Davis,CLE,Relief Pitcher,78,210,26.81
175,Mike Piazza,OAK,Catcher,75,215,38.49
176,Jason Kendall,OAK,Catcher,72,195,32.68
177,Adam Melhuse,OAK,Catcher,74,200,34.93
178,Nick Swisher,OAK,First Baseman,72,194,26.26
179,Dan Johnson,OAK,First Baseman,74,220,27.56
180,Donald Murphy,OAK,Second Baseman,70,180,23.98
181,Mark Ellis,OAK,Second Baseman,71,180,29.73
182,Marco Scutaro,OAK,Shortstop,70,170,31.33
183,Bobby Crosby,OAK,Shortstop,75,195,27.13
184,Mark Kiger,OAK,Shortstop,71,180,26.75
185,Antonio Perez,OAK,Third Baseman,71,170,27.09
186,Eric Chavez,OAK,Third Baseman,73,206,29.23
187,Milton Bradley,OAK,Outfielder,72,205,28.88
188,Shannon Stewart,OAK,Outfielder,71,200,33.01
189,Bobby Kielty,OAK,Outfielder,73,225,30.57
190,Mark Kotsay,OAK,Outfielder,72,201,31.24
191,Ryan Goleski,OAK,Outfielder,75,225,24.95
192,Jeremy Brown,OAK,Designated Hitter,70,226,27.35
193,Jason Windsor,OAK,Starting Pitcher,74,233,24.62
194,David Shafer,OAK,Starting Pitcher,74,180,24.98
195,Joe Blanton,OAK,Starting Pitcher,75,225,26.22
196,Brad Halsey,OAK,Starting Pitcher,73,180,26.04
197,Dan Haren,OAK,Starting Pitcher,77,220,26.45
198,Rich Harden,OAK,Starting Pitcher,73,180,25.25
199,Joe Kennedy,OAK,Starting Pitcher,76,237,27.77
200,Esteban Loaiza,OAK,Starting Pitcher,75,215,35.16
201,Alan Embree,OAK,Relief Pitcher,74,190,37.1
202,Jay Witasick,OAK,Relief Pitcher,76,235,34.51
203,Justin Duchscherer,OAK,Relief Pitcher,75,190,29.28
204,Kiko Calero,OAK,Relief Pitcher,73,180,32.14
205,Chad Gaudin,OAK,Relief Pitcher,71,165,23.94
206,Lenny DiNardo,OAK,Relief Pitcher,76,195,27.45
207,Scott Dunn,OAK,Relief Pitcher,75,200,28.77
208,Huston Street,OAK,Relief Pitcher,72,190,23.58
209,Ron Flores,OAK,Relief Pitcher,71,190,27.56
210,Jay Marshall,OAK,Relief Pitcher,77,185,24.01
211,Marcus McBeth,OAK,Relief Pitcher,73,185,26.52
212,Jorge Posada,NYY,Catcher,74,205,35.54
213,Wil Nieves,NYY,Catcher,71,190,29.43
214,Andy Phillips,NYY,First Baseman,72,205,29.9
215,Doug Mientkiewicz,NYY,First Baseman,74,206,32.7
216,Josh Phelps,NYY,First Baseman,75,220,28.8
217,Miguel Cairo,NYY,Second Baseman,73,208,32.82
218,Robinson Cano,NYY,Second Baseman,72,170,24.36
219,Derek Jeter,NYY,Shortstop,75,195,32.68
220,Alex Rodriguez,NYY,Third Baseman,75,210,31.59
221,Johnny Damon,NYY,Outfielder,74,190,33.32
222,Bobby Abreu,NYY,Outfielder,72,211,32.97
223,Hideki Matsui,NYY,Outfielder,74,230,32.72
224,Melky Cabrera,NYY,Outfielder,71,170,22.55
225,Kevin Thompson,NYY,Outfielder,70,185,27.45
226,Jason Giambi,NYY,Designated Hitter,75,230,36.14
227,Mike Mussina,NYY,Starting Pitcher,74,185,38.23
228,Carl Pavano,NYY,Starting Pitcher,77,241,31.14
229,Andy Pettitte,NYY,Starting Pitcher,77,225,34.71
230,Darrell Rasner,NYY,Starting Pitcher,75,210,26.13
231,Jeff Karstens,NYY,Starting Pitcher,75,175,24.43
232,Humberto Sanchez,NYY,Starting Pitcher,78,230,23.76
233,Chien-Ming Wang,NYY,Starting Pitcher,75,200,26.92
234,Sean Henn,NYY,Relief Pitcher,76,215,25.85
235,Scott Proctor,NYY,Relief Pitcher,73,198,30.16
236,Brian Bruney,NYY,Relief Pitcher,75,226,25.03
237,Chris Britton,NYY,Relief Pitcher,75,278,24.21
238,T.J. Beam,NYY,Relief Pitcher,79,215,26.51
239,Jose Veras,NYY,Relief Pitcher,77,230,26.36
240,Kyle Farnsworth,NYY,Relief Pitcher,76,240,30.88
241,Luis Vizcaino,NYY,Relief Pitcher,71,184,32.57
242,Mike Myers,NYY,Relief Pitcher,75,219,37.68
243,Mariano Rivera,NYY,Relief Pitcher,74,170,37.25
244,Ivan Rodriguez,DET,Catcher,69,218,35.25
245,Vance Wilson,DET,Catcher,71,190,33.95
246,Sean Casey,DET,First Baseman,76,225,32.66
247,Chris Shelton,DET,First Baseman,72,220,26.68
248,Omar Infante,DET,Second Baseman,72,176,25.18
249,Placido Polanco,DET,Second Baseman,70,190,31.39
250,Neifi Perez,DET,Second Baseman,72,197,33.74
251,Carlos Guillen,DET,Shortstop,73,204,31.42
252,Ramon Santiago,DET,Shortstop,71,167,27.5
253,Tony Giarratano,DET,Shortstop,72,180,24.25
254,Brandon Inge,DET,Third Baseman,71,195,29.78
255,Craig Monroe,DET,Outfielder,73,220,30
256,Magglio Ordo?ez,DET,Outfielder,72,215,33.09
257,Curtis Granderson,DET,Outfielder,73,185,25.96
258,Brent Clevlen,DET,Outfielder,74,190,23.34
259,Marcus Thames,DET,Outfielder,74,205,29.98
260,Gary Sheffield,DET,Outfielder,72,205,38.28
261,Mike Rabelo,DET,Designated Hitter,73,200,27.12
262,Zach Miner,DET,Starting Pitcher,75,200,24.97
263,Jeremy Bonderman,DET,Starting Pitcher,74,210,24.34
264,Nate Robertson,DET,Starting Pitcher,74,215,29.49
265,Justin Verlander,DET,Starting Pitcher,77,200,24.02
266,Virgil Vasquez,DET,Starting Pitcher,75,205,24.73
267,Kenny Rogers,DET,Starting Pitcher,73,211,42.3
268,Mike Maroth,DET,Starting Pitcher,72,190,29.54
269,Fernando Rodney,DET,Relief Pitcher,71,208,29.95
270,Chad Durbin,DET,Relief Pitcher,74,200,29.24
271,Jason Grilli,DET,Relief Pitcher,77,210,30.3
272,Jose Mesa,DET,Relief Pitcher,75,232,40.77
273,Todd Jones,DET,Relief Pitcher,75,230,38.85
274,Joel Zumaya,DET,Relief Pitcher,75,210,22.31
275,Jordan Tata,DET,Relief Pitcher,78,220,25.44
276,Andrew Miller,DET,Relief Pitcher,78,210,21.78
277,Yorman Bazardo,DET,Relief Pitcher,74,202,22.64
278,Wilfredo Ledezma,DET,Relief Pitcher,76,212,26.11
279,Roman Colon,DET,Relief Pitcher,78,225,27.55
280,Edward Campusano,DET,Relief Pitcher,76,170,24.63
281,Rene Rivera,SEA,Catcher,70,190,23.58
282,Kenji Johjima,SEA,Catcher,72,200,30.73
283,Richie Sexson,SEA,First Baseman,80,237,32.17
284,Ben Broussard,SEA,First Baseman,74,220,30.43
285,Jose Lopez,SEA,Second Baseman,74,170,23.27
286,Jose Vidro,SEA,Second Baseman,71,193,32.51
287,Yuniesky Betancourt,SEA,Shortstop,70,190,25.08
288,Oswaldo Navarro,SEA,Shortstop,72,150,22.41
289,Adrian Beltre,SEA,Third Baseman,71,220,27.9
290,Raul Ibanez,SEA,Outfielder,74,200,34.74
291,Jose Guillen,SEA,Outfielder,71,190,30.79
292,Jeremy Reed,SEA,Outfielder,72,185,25.71
293,Willie Bloomquist,SEA,Outfielder,71,185,29.26
294,Adam Jones,SEA,Outfielder,74,200,21.58
295,Ichiro Suzuki,SEA,Outfielder,69,172,33.36
296,Mike Morse,SEA,Outfielder,76,220,24.94
297,Felix Hernandez,SEA,Starting Pitcher,75,225,20.9
298,Ryan Feierabend,SEA,Starting Pitcher,75,190,21.52
299,Sean White,SEA,Starting Pitcher,76,195,25.85
300,Horacio Ramirez,SEA,Starting Pitcher,73,219,27.27
301,Cha Baek,SEA,Starting Pitcher,76,190,26.75
302,Miguel Batista,SEA,Starting Pitcher,73,197,36.03
303,Jeff Weaver,SEA,Starting Pitcher,77,200,30.52
304,Jarrod Washburn,SEA,Starting Pitcher,73,195,32.55
305,George Sherrill,SEA,Relief Pitcher,72,210,29.86
306,Julio Mateo,SEA,Relief Pitcher,72,177,29.58
307,J.J. Putz,SEA,Relief Pitcher,77,220,30.02
308,Chris Reitsma,SEA,Relief Pitcher,77,235,29.16
309,Cesar Jimenez,SEA,Relief Pitcher,71,180,22.3
310,Eric O'Flaherty,SEA,Relief Pitcher,74,195,22.06
311,Jon Huber,SEA,Relief Pitcher,74,195,25.65
312,Jake Woods,SEA,Relief Pitcher,73,190,25.49
313,Sean Green,SEA,Relief Pitcher,78,230,27.86
314,Mark Lowe,SEA,Relief Pitcher,75,190,23.73
315,Josh Paul,TB,Catcher,73,200,31.78
316,Dioner Navarro,TB,Catcher,70,190,23.06
317,Shawn Riggans,TB,Catcher,74,190,26.6
318,Ty Wigginton,TB,First Baseman,72,200,29.39
319,Brendan Harris,TB,Second Baseman,73,200,26.51
320,Jorge Cantu,TB,Second Baseman,73,184,25.08
321,Ben Zobrist,TB,Shortstop,75,200,25.76
322,B.J. Upton,TB,Third Baseman,75,180,22.52
323,Carl Crawford,TB,Outfielder,74,219,25.57
324,Rocco Baldelli,TB,Outfielder,76,187,25.43
325,Greg Norton,TB,Outfielder,73,200,34.65
326,Elijah Dukes,TB,Outfielder,74,220,22.68
327,Delmon Young,TB,Outfielder,75,205,21.46
328,Jonny Gomes,TB,Designated Hitter,73,205,26.27
329,Edwin Jackson,TB,Starting Pitcher,75,190,23.47
330,Scott Kazmir,TB,Starting Pitcher,72,170,23.1
331,Casey Fossum,TB,Starting Pitcher,73,160,29.14
332,Jae Seo,TB,Starting Pitcher,73,215,29.77
333,J.P. Howell,TB,Starting Pitcher,72,175,23.85
334,Tim Corcoran,TB,Starting Pitcher,74,205,28.88
335,Jason Hammel,TB,Starting Pitcher,78,200,24.49
336,James Shields,TB,Starting Pitcher,76,214,25.19
337,Brian Stokes,TB,Starting Pitcher,73,200,27.48
338,Juan Salas,TB,Relief Pitcher,74,190,28.31
339,Jeff Ridgway,TB,Relief Pitcher,75,180,26.54
340,Ruddy Lugo,TB,Relief Pitcher,70,205,26.77
341,Jae-Kuk Ryu,TB,Relief Pitcher,75,220,23.75
342,Chad Orvella,TB,Relief Pitcher,71,190,26.41
343,Dan Miceli,TB,Relief Pitcher,72,215,36.47
344,Seth McClung,TB,Relief Pitcher,78,235,26.06
345,Jon Switzer,TB,Relief Pitcher,75,191,27.55
346,Shawn Camp,TB,Relief Pitcher,73,200,31.28
347,Scott Dohmann,TB,Relief Pitcher,73,181,29.04
348,Jason LaRue,KC,Catcher,71,200,32.95
349,John Buck,KC,Catcher,75,210,26.65
350,Ryan Shealy,KC,First Baseman,77,240,27.5
351,Ross Gload,KC,First Baseman,72,185,30.9
352,Esteban German,KC,Second Baseman,69,165,29.09
353,Mark Grudzielanek,KC,Second Baseman,73,190,36.67
354,Angel Sanchez,KC,Second Baseman,74,185,23.44
355,Angel Berroa,KC,Shortstop,72,175,29.09
356,Andres Blanco,KC,Shortstop,70,155,22.89
357,Mark Teahen,KC,Third Baseman,75,210,25.48
358,Joey Gathright,KC,Outfielder,70,170,25.84
359,David DeJesus,KC,Outfielder,72,175,27.2
360,Shane Costa,KC,Outfielder,72,220,25.22
361,Mitch Maier,KC,Outfielder,74,210,24.67
362,Reggie Sanders,KC,Outfielder,73,205,39.25
363,Emil Brown,KC,Outfielder,74,200,32.17
364,Mike Sweeney,KC,Designated Hitter,75,225,33.61
365,John Bale,KC,Starting Pitcher,76,205,32.77
366,Luke Hudson,KC,Starting Pitcher,75,195,29.83
367,Scott Elarton,KC,Starting Pitcher,80,240,31.02
368,Odalis Perez,KC,Starting Pitcher,72,150,29.73
369,Gil Meche,KC,Starting Pitcher,75,200,28.48
370,Neal Musser,KC,Starting Pitcher,73,215,26.51
371,Brian Bannister,KC,Starting Pitcher,74,202,26
372,Zack Greinke,KC,Starting Pitcher,74,200,23.36
373,Jorge De La Rosa,KC,Starting Pitcher,73,190,25.9
374,Todd Wellemeyer,KC,Relief Pitcher,75,205,28.5
375,Jimmy Gobble,KC,Relief Pitcher,75,190,25.62
376,Joel Peralta,KC,Relief Pitcher,71,160,30.94
377,Ryan Braun,KC,Relief Pitcher,73,215,26.59
378,Joakim Soria,KC,Relief Pitcher,75,185,22.78
379,Ken Ray,KC,Relief Pitcher,74,200,32.26
380,David Riske,KC,Relief Pitcher,74,190,30.35
381,Octavio Dotel,KC,Relief Pitcher,72,210,33.26
382,Joe Nelson,KC,Relief Pitcher,74,185,32.35
383,Gerald Laird,TEX,Catcher,74,220,27.3
384,Miguel Ojeda,TEX,Catcher,74,190,32.08
385,Guillermo Quiroz,TEX,Catcher,73,202,25.25
386,Chris Stewart,TEX,Catcher,76,205,25.03
387,Mark Teixeira,TEX,First Baseman,75,220,26.89
388,Ian Kinsler,TEX,Second Baseman,72,175,24.69
389,Joaquin Arias,TEX,Shortstop,73,160,22.44
390,Michael Young,TEX,Shortstop,73,190,30.36
391,Hank Blalock,TEX,Third Baseman,73,200,26.27
392,Marlon Byrd,TEX,Outfielder,72,229,29.5
393,Brad Wilkerson,TEX,Outfielder,72,206,29.75
394,Sammy Sosa,TEX,Outfielder,72,220,38.3
395,Kenny Lofton,TEX,Outfielder,72,180,39.75
396,Frank Catalanotto,TEX,Outfielder,71,195,32.84
397,Nelson Cruz,TEX,Outfielder,75,175,26.66
398,Jason Botts,TEX,Designated Hitter,77,250,26.6
399,Robinson Tejeda,TEX,Starting Pitcher,75,188,24.94
400,John Rheinecker,TEX,Starting Pitcher,74,230,27.76
401,Edinson Volquez,TEX,Starting Pitcher,73,190,23.66
402,A.J. Murray,TEX,Starting Pitcher,75,200,24.96
403,Brandon McCarthy,TEX,Starting Pitcher,79,190,23.65
404,Vicente Padilla,TEX,Starting Pitcher,74,219,29.42
405,Kevin Millwood,TEX,Starting Pitcher,76,235,32.18
406,John Koronka,TEX,Starting Pitcher,73,180,26.66
407,Frank Francisco,TEX,Relief Pitcher,74,180,27.47
408,Francisco Cruceta,TEX,Relief Pitcher,74,180,25.66
409,Akinori Otsuka,TEX,Relief Pitcher,72,200,35.13
410,Eric Gagne,TEX,Relief Pitcher,74,234,31.15
411,Ron Mahay,TEX,Relief Pitcher,74,185,35.67
412,Joaquin Benoit,TEX,Relief Pitcher,75,220,29.6
413,Rick Bauer,TEX,Relief Pitcher,78,223,30.14
414,Josh Rupe,TEX,Relief Pitcher,74,200,24.53
415,Wes Littleton,TEX,Relief Pitcher,74,210,24.49
416,C.J. Wilson,TEX,Relief Pitcher,74,200,26.28
417,Scott Feldman,TEX,Relief Pitcher,77,210,24.06
418,Gregg Zaun,TOR,Catcher,70,190,35.88
419,Jason Phillips,TOR,Catcher,73,177,30.42
420,Lyle Overbay,TOR,First Baseman,74,227,30.09
421,Russ Adams,TOR,Second Baseman,73,180,26.5
422,Aaron Hill,TOR,Second Baseman,71,195,24.94
423,Jason Smith,TOR,Second Baseman,75,199,29.6
424,John McDonald,TOR,Shortstop,71,175,32.43
425,Royce Clayton,TOR,Shortstop,72,185,37.16
426,Troy Glaus,TOR,Third Baseman,77,240,30.57
427,John Hattig,TOR,Third Baseman,74,210,27.01
428,Reed Johnson,TOR,Outfielder,70,180,30.23
429,Alex Rios,TOR,Outfielder,77,194,26.03
430,Vernon Wells,TOR,Outfielder,73,225,28.23
431,Frank Thomas,TOR,Designated Hitter,77,275,38.76
432,Adam Lind,TOR,Designated Hitter,74,195,23.62
433,Shaun Marcum,TOR,Starting Pitcher,72,180,25.21
434,Casey Janssen,TOR,Starting Pitcher,76,205,25.45
435,Gustavo Chacin,TOR,Starting Pitcher,71,193,26.24
436,A.J. Burnett,TOR,Starting Pitcher,76,230,30.15
437,Roy Halladay,TOR,Starting Pitcher,78,230,29.8
438,John Thomson,TOR,Starting Pitcher,75,220,33.41
439,Tomo Ohka,TOR,Starting Pitcher,73,200,30.95
440,B.J. Ryan,TOR,Relief Pitcher,78,249,31.17
441,Scott Downs,TOR,Relief Pitcher,74,190,30.95
442,Brian Tallet,TOR,Relief Pitcher,79,208,29.44
443,Matt Roney,TOR,Relief Pitcher,75,245,27.14
444,Tracy Thorpe,TOR,Relief Pitcher,76,250,26.21
445,Jean Machi,TOR,Relief Pitcher,72,160,24.08
446,Brandon League,TOR,Relief Pitcher,75,192,23.96
447,Dustin McGowan,TOR,Relief Pitcher,75,220,24.94
448,Jason Frasor,TOR,Relief Pitcher,70,170,29.56
449,Francisco Rosario,TOR,Relief Pitcher,72,197,26.42
450,Davis Romero,TOR,Relief Pitcher,70,155,23.92
451,Jeremy Accardo,TOR,Relief Pitcher,74,190,25.23
452,Mike Redmond,MIN,Catcher,71,200,35.82
453,Joe Mauer,MIN,Catcher,76,220,23.87
454,Chris Heintz,MIN,Catcher,73,210,32.57
455,Justin Morneau,MIN,First Baseman,76,228,25.79
456,Luis Castillo,MIN,Second Baseman,71,190,31.47
457,Alexi Casilla,MIN,Second Baseman,69,160,22.61
458,Alejandro Machado,MIN,Second Baseman,72,184,24.85
459,Jason Bartlett,MIN,Shortstop,72,180,27.33
460,Luis Rodriguez,MIN,Third Baseman,69,180,26.67
461,Jeff Cirillo,MIN,Third Baseman,73,200,37.43
462,Nick Punto,MIN,Third Baseman,69,176,29.31
463,Jason Tyner,MIN,Outfielder,73,160,29.85
464,Michael Cuddyer,MIN,Outfielder,74,222,27.93
465,Torii Hunter,MIN,Outfielder,74,211,31.62
466,Lew Ford,MIN,Outfielder,72,195,30.55
467,Jason Kubel,MIN,Outfielder,71,200,24.77
468,Josh Rabe,MIN,Designated Hitter,74,210,28.38
469,Rondell White,MIN,Designated Hitter,73,225,35.02
